net,length_um
scan_en,2.661595mm
net1013,1.273645mm
net892,1.13025mm
sq_enq_counter\[5\],1.08608mm
sq_enq_id\[3\],1.07937mm
net812,1.04247mm
net818,1.041345mm
sq_enq_counter\[9\],1.03902mm
net819,1.03822mm
_08388_,1.03535mm
net1239,1.02409mm
_20857_,1.02237mm
net842,1.0206mm
net813,1.01963mm
net821,1.01198mm
net886,1.00233mm
net827,998.89µm
net133,989.22µm
net833,984.91µm
net811,978.12µm
net871,976.06µm
net809,960.68µm
net843,959.39µm
net869,954.14µm
net376,948.49µm
net817,939.89µm
net1254,928.56µm
net837,925.85µm
net883,923.84µm
net1330,922.69µm
_22417_,922.52µm
net1174,921.69µm
_19891_,919.51µm
net199,918.34µm
net868,915.98µm
_08197_,913.93µm
_20808_,909.14µm
sq_enq_counter\[3\],908.825µm
net816,905.22µm
net870,903.68µm
net877,900.79µm
_21637_,899.145µm
_04986_,892.19µm
net882,888.29µm
net814,880.96µm
net831,878.04µm
_08331_,875.5µm
net830,871.94µm
net1193,868.01µm
net829,867.16µm
clknet_2_0_0_clk,866.495µm
_08233_,861.49µm
net177,857.96µm
net841,852.12µm
net1175,846.92µm
net823,844.93µm
net772,841.15µm
net204,838.6µm
_21118_,838.515µm
net844,834.53µm
net1253,832.665µm
net1255,832.275µm
net1310,829.73µm
_20838_,829.46µm
net838,824.37µm
_20689_,823.33µm
clknet_2_2_0_clk,822.52µm
net1142,822.07µm
clk,821.485µm
net875,819.85µm
_08912_,813.93µm
net1250,811.32µm
_21984_,809.4µm
clknet_0_clk,809.25µm
net825,805.6µm
net880,801.26µm
net862,796.865µm
net194,794.04µm
_08810_,787.11µm
net219,786.045µm
clknet_2_1_0_clk,785.3µm
sq_enq_counter\[11\],775.43µm
net889,772.3µm
net826,769.87µm
net769,768.26µm
net1143,765.79µm
net774,764.07µm
net132,763.96µm
_22322_,758.28µm
_20688_,755.42µm
_08282_,749.28µm
clknet_2_3_0_clk,748.88µm
net189,748.84µm
net776,747.58µm
net810,746.13µm
net887,745.28µm
net832,744.49µm
_12615_,744.27µm
net1251,742.36µm
net885,742.05µm
net187,739.43µm
_22165_,739.14µm
_21986_,736.25µm
net874,734.59µm
_10157_,730.8µm
net186,727.25µm
net192,724.73µm
net824,724.35µm
_21434_,724.3µm
net1140,723.59µm
net1141,723.34µm
net134,722.08µm
net888,721.88µm
net775,719.75µm
net168,714.46µm
net1139,714.24µm
net1309,709.13µm
net1144,707.115µm
net1211,705.93µm
net878,705.44µm
_22004_,704.24µm
net1240,703.6µm
net229,703.47µm
net190,703.08µm
net884,700.13µm
_08386_,694.86µm
net773,692.69µm
net895,691.9µm
net155,691µm
sq_enq_counter\[7\],688.37µm
net815,684.9µm
_08406_,681.26µm
net768,680.45µm
net182,672.08µm
_08345_,668.49µm
net866,668.18µm
net1252,666.46µm
net1292,665.19µm
net879,664.56µm
net1220,664.52µm
_20682_,663.68µm
net1129,663.66µm
net1320,662.7µm
net896,662.66µm
net188,662.295µm
net232,661.2µm
net881,660.27µm
net136,657.06µm
net482,655.71µm
net828,653.21µm
net1249,652.9µm
net900,651.99µm
net1273,651.96µm
net181,647.14µm
sq_enq_counter\[1\],641.54µm
net865,641.43µm
_21064_,639.13µm
net161,636.44µm
net847,633.59µm
_09785_,628.51µm
_20687_,627.78µm
_21100_,625.92µm
_08399_,625.2µm
net1229,623.72µm
_03111_,623.58µm
net1128,623.14µm
net499,623.11µm
_21105_,623.09µm
net1331,621.25µm
net203,619.88µm
_08169_,618.26µm
_08831_,616.105µm
_22141_,615.68µm
_22430_,615.14µm
_08408_,614.7µm
net1332,612.96µm
net1130,608.5µm
net1238,606.98µm
net389,604.3µm
net1138,602.55µm
_21639_,601.5µm
_22594_,599.94µm
net176,599.83µm
_08254_,599.71µm
net1202,599.19µm
_22575_,597.82µm
_19602_,596.72µm
net890,596.37µm
net200,595.87µm
_05533_,595.8µm
net169,595.56µm
sq_enq_counter\[12\],594.96µm
_12567_,594.83µm
net427,593.99µm
_22329_,593.5µm
_22238_,591.6µm
_08250_,589.62µm
net1028,589.26µm
net876,587.35µm
_20837_,586.98µm
net893,585.07µm
net191,584.28µm
_09456_,584.25µm
_13909_,583.555µm
_08403_,583.41µm
_21367_,581.33µm
net179,580.32µm
net1282,578.82µm
net230,576.77µm
net363,575.985µm
net894,574.24µm
net1027,570.9µm
net171,570.5µm
_12638_,570.16µm
net327,568.01µm
net1126,567.51µm
_20992_,567.13µm
net354,566.835µm
net1029,565.4µm
net314,565.36µm
net310,561.165µm
net429,560.52µm
net9,560.2µm
net435,560.09µm
